English,Hindi,Hinglish,Id,Score
"One article from devoting air dispersion modeling and transformation for technical quality and air dispersion modeling of air pollution.
","वायु प्रकीर्णन मॉडलिंग और रुपान्तरण फ़ार्मुले छह से एक लेख समर्पित करने के लिए तकनीकी गुणवत्ता और वायु प्रदूषण के वायु प्रकीर्णन मॉडलिंग
",[start] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] se ek [UNK] [end],10,0.3168
"Together, we shall take India into the 21st century as a strong, self - confident, and prosperous nation.
","हम सब मिलकर सशक्त, आत्मविश्वास और समृद्ध राष्ट्र के रुप में भारत का 21वीं शताब्दि में पदार्पण कराएंगे।
",[start] ham sab milakar bharat ko [UNK] [UNK] men ek strong [UNK] aur [UNK] rashtr ke roop men le jaenge [end],11,0
"Before the boy could reply, a butterfly appeared and fluttered between him and the old man.
","इससे पहले कि लड़का कुछ जवाब देता एक तितली उन दोनों के बीच आकर अपने पर फड़फड़ाने लगी।
",[start] isse pahle ki boy javab de [UNK] ek butterfly prakat huee aur uske de [UNK] ke bich [UNK] [UNK] [end],12,0.2462
"“Taste your ordeal. This is what you used to challenge. ”
","(और उनसे कहा जाएगा) अपने अज़ाब का मज़ा चखो ये वही है जिसकी तुम जल्दी मचाया करते थे
",[start] apni [UNK] ka [UNK] [UNK] [end],13,0.0915
"And their eyes spoke of death.
","उनकी आंखें मौत का संदेश दे रही थीं।
",[start] aur unki [UNK] maut ki bat kar rahi thin [end],14,0
"Overcrowding and outstanding registrations kept increasing .
","भीड़ भाड़ तथा शेष पंजीकरण की संख़्या में वृद्धि होती गयी .
",[start] [UNK] aur [UNK] registration [UNK] rahe [end],15,0
"At this stage, learned counsel for the parties have pointed out that the decreetal amount has since been deposited with the Registrar General of this court which is lying in an FDR.
","इस स्तर पर, पक्षकारों के विद्वत वकील ने ध्यान दिलाया कि डिक्रीत राशि तब से इस अदालत के महा-रजिस्ट्रार के पास जमा कर दी गई थी जो कि एक सावधि जमा रसीद में पड़ी हुई है.
",[start] is stage par [UNK] ke [UNK] [UNK] ne [UNK] kiya hai ki decree ki rashi ab is nyayalay ke [UNK] [UNK] ke pas general kar di gee hai jo [UNK] men para huaa hai [end],16,0
"Ganesh Chaturthi and Janmashtmi are the other two festivals which are celebrated with lots of fun and frolic.
","इनके अलावा गणेश चतुर्थी और जन्माष्टमी कुछ अधिक धूम-धाम के संग मनाये जाते हैं।
",[start] [UNK] [UNK] aur [UNK] any do [UNK] hain jo bahut hi [UNK] aur [UNK] ke sath [UNK] jate hain [end],17,0
"O which of your Lord 's bounties will you and you deny?
","तो तुम दोनों अपने रब की अनुकम्पाओं में से किस-किस को झुठलाओगे?
",[start] ae apne rab ki kaun si [UNK] ko [UNK] tum aur tum [end],18,0.2077
"A measurement of change in prices.
","कीमतों में परिवर्तन को आंकने का एक पैमाना।
",[start] change in prices ka [UNK] [end],19,0
"Set this to the key command you would like to use to summon Do.
","इसमें वह की कमांड डालें जिसके होने पर जीनोम डु शुरू हो जाये।
",[start] ise us key command par set karen jiska use aap [UNK] ko [UNK] karne ke lie karna chahte hain [end],20,0.1508
"His life and the lives of those nearest and dearest to him would be forfeit if he refused to do the bidding of his lord.
","अगर अपने राजा की बात को मानने से इन्कार करता है तो उसके तथा उसके निकट संबंधियों की जान जाती है।
",[start] yadi usne apne [UNK] ki [UNK] ko karne se inkar kar diya to uska jivan aur uske sabse [UNK] aur priy logon ka jivan nasht ho jaega [end],21,0.326
"Windows that should be use alpha blur by default
","विंडोज़ जिसे मूलभूत रूप से अल्फा धुंधला का प्रयोग करना चाहिए
",[start] windows jinhen [UNK] roop se [UNK] [UNK] ka use karna chahie [end],22,0.4748
"DNA- RNA- Protein All the aforementioned steps can be carried out in the test-tube if the building blocks , enzymes and ribosome 's are provided as well as the nucleic acid to give primary information sequence .
","डी.एन.एआर.एन.ए . प्रोटीन उपर्यु> सारी इऋयाएं एक परखनली में भी की जा सकती हैं बशर्ते इसके लिए आवशऋ-ऊण्श्छ्ष्-यक एंजाइम तथा राइबोसोम आदि पदार्थ उपलबऋ-ऊण्श्छ्ष्-ध हों.प्रारंभिक जानकारी का ऋम देने हेतु नऋ-ऊण्श्छ्ष्-यूकऋ-ऊण्श्छ्ष्-लिइक अमऋ-ऊण्श्छ्ष्-ल भी उपलबऋ-ऊण्श्छ्ष्-ध हो .
",[start] [UNK] [UNK] sabhi [UNK] ko [UNK] men kiya ja sakta hai yadi [UNK] degi [UNK] aur [UNK] ke [UNK] [UNK] information [UNK] dene ke lie [UNK] [UNK] prdan kiya jata hai [end],23,0.1723
"Our enemy is thoughtlessness. This is philosophy. ”
","अविचारशीलता हमारी शत्रु है। यह दर्शन है ”
",[start] hamara [UNK] [UNK] hai [end],24,0
"Allah said: be thou gone; then who soever of them followeth thee, Hell is your meed, a meed ample.
","ख़ुदा ने फरमाया चल (दूर हो) उनमें से जो शख़्श तेरी पैरवी करेगा तो (याद रहे कि) तुम सबकी सज़ा जहन्नुम है और वह भी पूरी पूरी सज़ा है
",[start] created the kaha allah chale jao [end],25,0.2249
"Then say to him a gentle saying; haply he may be admonished or he may fear.
","उससे नर्म बात करना, कदाचित वह ध्यान दे या डरे। ""
",[start] tab us se [UNK] [UNK] kah [end],26,0
"One of the historical structures in Mumbai used to be Governor 's residence.
","मुंबई में ऐतिहासिक संरचना जहां राज्यपाल निवास करते थे।
",[start] mumbai men [UNK] [UNK] men se ek governor ka [UNK] huaa karta tha [end],27,0
"GNOME Theme% s correctly installed Gnome
","थीम% s ठीक से अधिष्ठापित है
",[start] [UNK] [UNK] s sahi dhng se [UNK] [UNK] kiya gaya hai [end],28,0
"""Adjournment of the sitting of the House""- Termination of the sitting of the House which meets again at the time appointed for the next sitting.
","""सभाकी बैठक का स्थगन"" -- स्थगन होने पर सभा की बैठक समाप्त हो जाती है और सभा अगली बैठक के लिए नियत समय पर पुनः समवेत होती है।
",[start] sadan ki sitting ka adjournment assembly ki sitting ki [UNK] jo [UNK] sitting ke lie niyat time par phir se [UNK] hoti hai [end],29,0.2003
"Joint Forest Management Committees have played a key role in curbing the exploitation of forest resources that had often led to the marginalization and deprivation of tribal people.
","संयुक्त वन प्रबंधन समितियों ने अक्सर जनजातीय लोगों को पिछड़ा और अभावग्रस्त बनाने वाले वन संसाधनों के दोहन को समाप्त करने में प्रमुख भूमिका निभाई है।
",[start] [UNK] [UNK] [UNK] [UNK] ne [UNK] [UNK] ke [UNK] ko [UNK] men mahatvpoorn bhoomika [UNK] hai jiske karan aksar [UNK] logon ko [UNK] par [UNK] diya jata tha aur [UNK] kar diya jata tha [end],30,0.185
"It cannot be said that the product was unknown in India.
","ऐसा नहीं कहा जा सकता है कि यह उत्पाद भारत में अनजान था
",[start] yah nahin kaha ja sakta hai ki product unknown in [UNK] tha [end],31,0
"Have you not regarded those who style themselves as pure? Indeed, it is Allah who purifies whomever He wishes, and they will not be wronged [so much as] a single date - thread.
","(ऐ रसूल) क्या तुमने उन लोगों के हाल पर नज़र नहीं की जो आप बड़े मुक़द्दस बनते हैं (मगर उससे क्या होता है) बल्कि ख़ुदा जिसे चाहता है मुक़द्दस बनाता है और ज़ुल्म तो किसी पर धागे के बराबर हो ही गा नहीं
",[start] kya aapne un logon ko nahin dekha jo apne aap ko [UNK] mante hain [end],32,0.289
"Tansen fell ill and it was two months before he could return to the court.
","लगातार दो महिने तक वह बीमार रहा।
",[start] [UNK] [UNK] par ge aur unhen [UNK] men vapas aane se pahle do months ho ge the [end],33,0
"If set to true, then Nautilus shows folders prior to showing files in the icon and list views.
","यदि यह सत्य पर नियत किया जाता है, चिह्न तथा सूची दृश्य में नॉटिलस फ़ोल्डर्स को फ़ाइलें के पहले दिखाएगा.
",[start] yadi correct par set kiya jata hai to [UNK] jata aur list [UNK] men files [UNK] se pahle folder [UNK] hai [end],34,0
"Externally, the quadrangular open court is surrounded by a prakara with a cloister, or malika, locally called nalambalam or chuttambalam.
","बाह्य रूप से चतुर्भुज खुला प्रांगण एक प्राकार से घिरा होता है जिसमें एक विहार, या मालिका होती है जिसे स्थानीय रूप से नलांबलम या चुट्टांबलम कहा जाता हैं.
",[start] [UNK] roop se [UNK] ke [UNK] ek [UNK] se [UNK] huaa hai jismen ek [UNK] ya [UNK] hai jise local [UNK] se [UNK] ya [UNK] kaha jata hai [end],35,0
"And you probably all have it, and if you haven't, you need to.
","और शायद आप सभी में भी वह होता है, और अगर वह आपके पास नहीं है तो आपको उसकी आवश्यकता है।
",[start] aur aapke pas shayad yah sab hai aur yadi aapke pas nahin hai to aapko iski aavashyakta hai [end],36,0.1074
"Equally evident are grounds for introspection.
","समान रूप से स्पष्ट आत्मनिरीक्षण के लिए आधार हैं।
",[start] [UNK] ke lie saman roop se spasht aadhar hain [end],37,0
"citizens have self - organized political protests and
","नागरिकों ने खुद को राजनैतिक विरोधों में आयोजित किया और
",[start] [UNK] ke pas [UNK] political virodh aur hain [end],38,0
"The Government of India had no adequate plans and arrangements for the country 's defence.
","भारत सरकार के पास देश की रक्षा के लिए पर्याप्त योजनाएं व इंतजाम न थे.
",[start] india government ke pas country ki [UNK] ke lie koee [UNK] plan aur [UNK] nahin thi [end],39,0
"The officer who is entitled with the responsibility of arbitration.
","वह अधिकारी जिसे मध्यस्थता करने की जिम्मेदारी सौंपी गयी है।
",[start] vah officer jo [UNK] ki par ka [UNK] hai [end],40,0
"She answered, This is their home.
","उत्तर था, यह उनका घर है।
",[start] usne uttar diya yah unka ghar hai [end],41,0
"Lamas practice dance, sing and play on pipes and horns. Many Lamas get religious training here.
","यहां लामा नृत्य, गीत गायन और नाटकों में पाइपों तथा सींगों का इस्तेमाल करते हैं। अनेक लामा यहां धार्मिक प्रशिक्षण प्राप्त करते हैं।
",[start] [UNK] [UNK] aur [UNK] par [UNK] [UNK] aur [UNK] ka [UNK] karte hain [end],42,0
"You need two numbers or string to do an addition
","जोड़ने के लिए आपको दो संख्या या वाक्यांश चाहिए
",[start] [UNK] karne ke lie aapko do [UNK] ya [UNK] chahie [end],43,0
"Your discipline, commitment and determination will help you navigate through the rough terrain.
","आपका अनुशासन, समर्पण और संकल्प मुश्किल हालात से गुजरने में आपकी मदद करेगा।
",[start] [UNK] [UNK] [UNK] aur [UNK] [UNK] aapko kisi n kisi [UNK] se [UNK] karne men madad karega [end],44,0
"In Hindi, the word “”America“” is used instead of “”United States of America“”.
","हिन्दी भाषा में संयुक्त राज्य या संयुक्त राज्य अमेरिका के स्थान पर केवल अमेरिका कहने का ही प्रचलन है जो इस देश के लघु नाम के रूप मे उपयोग में लाया जाता है।
",[start] hindi men such [UNK] amerika ke [UNK] par amerika year ka pryog kiya jata hai [end],45,0
"Some may go to out-of-the-way places to sniff which can add to the dangers .
","कुछ लोग संभवतः सुँघनी लेने के लिए कोई अनजानी जगह भी चुन सकते हैं , जिससे ख़तरे और बढ़ सकते हैं .
",[start] kuchh [UNK] ke lie [UNK] ki [UNK] par ja sakte hain jo [UNK] ko [UNK] sakta hai [end],46,0.2095
"Chromium is no longer updating because your operating system is obsolete.
","क्रोमियम अब और अपडेट नहीं कर रहा है क्योंकि आपका ऑपरेटिंग सिस्टम अप्रचलित है.
",[start] [UNK] ab [UNK] nahin ho raha hai kyonki [UNK] [UNK] system [UNK] hai [end],47,0.3287
"It ' s what turns lead into gold , and makes the gold return to the earth . ”
","यही चक्र सीसे को सोना बना देता है , और सोने को धरती में वापिस समावेश करा देता है । ”
",[start] yah vah hai jo [UNK] ko [UNK] men badal deta hai aur [UNK] ko vapas earth par [UNK] deta hai [end],48,0
"Cannot send message: no recipients defined.
","संदेश नहीं भेज सकता हैः कोई प्राप्तकर्ता परिभाषित नहीं है.
",[start] message nahin bheja ja sakta koee [UNK] paribhashit nahin hai [end],49,0
"but it does tend to leave you waking up crying at three o'clock in the morning.
","मगर हो सकता है कि आप सुबह के तीन बजे जागे हुए पाये जायें।
",[start] lekin yah aapko [UNK] tin baje [UNK] hue [UNK] ke lie chhor deta hai [end],50,0.1553
"Average feed consumption upto marketable age
","बेचने योग्य होने की आयु तक पहुँचने तक भोजन की औसत खपत
",[start] [UNK] yogy age tak average [UNK] [UNK] [end],51,0
"Among them 13, 74, 283 lives were under subsidised category and 61, 133 lives were under General non - subsidised category.
","इनमें क्रमशः13,74,283 और 61,133 व्यक्ति सब्सिडी पाने वाले वर्ग में थे और 61,135 पूरा प्रीमियम देने वालों में थे।
",[start] inmen [UNK] jivan [UNK] [UNK] men tatha [UNK] jivan normal [UNK] [UNK] [UNK] men the [end],52,0
"PROVISIONS AS TO THE COMPTROLLER AND AUDITOR-GENERAL OF INDIA
","भारत के नियंत्रक-महालेखापरीक्षक के बारे में उपबंध
",[start] india ke [UNK] aur [UNK] ke bare men [UNK] [end],53,0.6135
"But, with respect to potassic fertilizers, there are no known commercially exploitable reserves of potash in the country and the entire requirement of these fertilizers is met through imports.
","परन्तु पोटाश उर्वरक के संबंध में देश में पोटाश का कोई दोहन करने योग्य ज्ञात भंडार नहीं है और इन उर्वरकों की समस्त आवश्यकताएं आयात के माध्यम से पूरी की जाती हैं।
",[start] lekin [UNK] [UNK] ke respect men country men [UNK] ke business roop se [UNK] yogy [UNK] jnjat nahin hain aur in [UNK] ki poori need aayat ke madhyam se poori ki jati hai [end],54,0
"The Rajghat Dam is almost complete.
","राजघाट बांध का निर्माण कार्य लगभग पूरा हो चुका है।
",[start] [UNK] dam lagabhag poora ho chuka hai [end],55,0
"Dr. Ambedkar was at pains to emphasise that the new republic would be a ""Union” of States, as opposed to a"" Federation” of States. The States would have no right to secede.
","डॉ. अंबेडकर ने बहुत परिश्रम से यह बताने का प्रयास किया था कि नया गणतंत्र राज्यों के ‘परिसंघ’के बजाय राज्यों का ‘संघ’ होगा। राज्यों को अलग होने का अधिकार नहीं होगा।
",[start] [UNK] [UNK] ko is bat par [UNK] dene men bahut [UNK] ho rahi thi ki new [UNK] states ke [UNK] ke viprit states ka [UNK] hoga [end],56,0.2645
"So sometimes you 'll say morula,
","तो कभी कभी आप morula कहता हूँ,
",[start] to kabhi aap [UNK] [UNK] [end],57,0.5318
"Disables saving browser history in %{PRODUCTNAME} and prevents users from changing this setting. If this setting is enabled, browsing history is not saved. If this setting is disabled or not set, browsing history is saved.
","%{PRODUCTNAME} में ब्राउज़र इतिहास सहेजना अक्षम करती है और उपयोगकर्ताओं को यह सेटिंग बदलने से रोकती है. यदि यह सेटिंग सक्षम है, तो ब्राउज़िंग इतिहास सहेजा नहीं जाता है. यदि यह सेटिंग अक्षम है या कॉन्फ़िगर नहीं है, तो ब्राउज़िंग इतिहास सहेजा जाता है.
",[start] [UNK] history ko [UNK] men [UNK] [UNK] karta hai aur [UNK] ko is [UNK] ko badalne se [UNK] hai [end],58,0.1588
"Force Brasero to display the project selection page
","परियोजना चयन पृष्ठ दिखाने के लिए ब्रैसेरो को बाध्य करें
",[start] project [UNK] prishth [UNK] karne ke lie [UNK] ko [UNK] karen [end],59,0
"Kindness, seriousness and restraint were the balance column
","दया विचारशीलता और संयम इसके आधार स्तम्भ थे।
",[start] [UNK] [UNK] aur [UNK] [UNK] [UNK] the [end],60,0
"These dealt with matters arising during periods of the first and second Emergencies proclaimed in 1962 and 1971.
","इनका संबंध उन मामलों से था जो 1962 और 1971 में उदघोषित आपात उपबंध पहले और दूसरे आपातो के दौरान पैदा हुए।
",[start] ye [UNK] aur [UNK] men [UNK] first aur doosri [UNK] men ke dauran utpann hone vale mamlon se snbndhit the [end],61,0
"causing no headiness or intoxication.
","न उसमें कोई ख़ुमार होगा और न वे उससे निढाल और मदहोश होंगे।
",[start] koee such ya [UNK] nahin paida karta hai [end],62,0
"Administer to any party to arbitration
","पंच निर्णय के लिए पक्षकार को सौंप देना
",[start] [UNK] ke lie kisi bhi party ko [UNK] karen [end],63,0
"So the fence would have been broken if there really had been a leopard.
","अतः यदि चीता वहां सचमुच में गया होता तो बाड़ी कहीं से टूटी मिलती।
",[start] islie yadi vastav men [UNK] hota to [UNK] [UNK] [UNK] [end],64,0.4458
"and Our command is but a single [word], like the twinkling of an eye.
","और हमारा आदेश (और काम) तो बस एक दम की बात होती है जैसे आँख का झपकना
",[start] aur hamara hukm to bas ek shabd hai jaise [UNK] [UNK] [end],65,0
"I do not wish to take any hasty step, nor would you wish to take it.
","मैं जल्दबाजी में कोई कदम नहीं उठाना चाहता, न आप जल्दबाजी में कोई कदम उठाना चाहेंगे।
",[start] i [UNK] men koee step nahin [UNK] chahta aur n hi aap ise [UNK] [UNK] [end],66,0
"For instance, for a Muslim child the first and most important part of his education was to learn to read Arabic, in order that he might be able to read the Quran.
","उदाहरण के तौर पर, एक मुसलमान बच्चे की शिक्षा का प्रथम और सवांधिक महत्वपूर्ण अंग था अरबी पढने का ज्ञान ताकि वह कुरान पढ सकें.
",[start] udaharan ke lie ek muslim child ke lie uski shiksha ka pahla aur sabse mahatvpoorn [UNK] [UNK] pana [UNK] tha taki vah kuran [UNK] men saksham ho sake [end],67,0
"But he who is given the Record behind his back,
","और रह वह व्यक्ति जिसका कर्म-पत्र (उसके बाएँ हाथ में) उसकी पीठ के पीछे से दिया गया,
",[start] lekin vah jise uske pith pichhe [UNK] diya jata hai [end],68,0
"I can't find my provider and I wish to enter it manually:
","मैं अपने प्रदाता नहीं ढूँढ़ सकता हूँ और मैं इसे दस्ती रूप से दाखिल करना चाहता हूँ (m):
",[start] mujhe apna provider nahin mil raha hai aur main ise [UNK] roop se [UNK] karna chahta hoon [end],69,0.2715
"But this exclusive consummation is not the sole or inevitable result of the Path of Knowledge.
","किन्तु यह एकाग्डी अत्युच्च अवस्था ही ज्ञान के मार्ग का अकेला या अनिवार्य परिणाम नहीं।
",[start] lekin yah [UNK] [UNK] jnjan ke marg ka ekmatr ya [UNK] [UNK] nahin hai [end],70,0
"They embrace the infinite coastline of the sea at their mouths.
","वे अपने मुहानों पर असीम समुद्रतट का आलिंगन करती हैं।
",[start] ve [UNK] ke [UNK] [UNK] ko apne [UNK] par [UNK] [UNK] hain [end],71,0
"When such a person comes to Us, he will say [to his comrade], ""If only you had been as far away from me as east is from west. What an evil comrade!""
","यहाँ तक कि जब (क़यामत में) हमारे पास आएगा तो (अपने साथी शैतान से) कहेगा काश मुझमें और तुममें पूरब पश्चिम का फ़ासला होता ग़रज़ (शैतान भी) क्या ही बुरा रफीक़ है
",[start] jab aesa koee vyakti hamare pas aata hai to vah apne [UNK] se [UNK] [UNK] tum [UNK] utni hi door hote jitna [UNK] [UNK] se hai kitna [UNK] [UNK] hai [end],72,0
"Now I do call to witness the Lord of all points in the East and the West that We can certainly -
","अतः कुछ नहीं, मैं क़सम खाता हूँ पूर्वों और पश्चिमों के रब की, हमे इसकी सामर्थ्य प्राप्त है
",[start] ab main poorv aur [UNK] ke sabhi [UNK] ke bhagvan ko [UNK] hone ke lie [UNK] hoon ki ham nishchit roop se kar sakte hain [end],73,0
"The deceased was doing a private job at the time of the accident.
","मृतक दुर्घटना के समय एक निजी काम कर रहा था.
",[start] [UNK] ke vakt [UNK] [UNK] [UNK] kar raha tha [end],74,0.7788
"seeing towards down after the noon, we can see pollution in Los Angeles into the moor of mountains
","नीचे देखने पर सामने की पहाडी के मैदान में दोपहर के बाद वायु प्रदूषण साफ साफ़ लोस अन्जेल्स में दिखता है.
",[start] [UNK] ke bad niche ki or thee hue ham [UNK] [UNK] men [UNK] ke [UNK] men [UNK] dekh sakte hain [end],75,0
"There is a great percentage of poetry in his so - called dramas, also there is music in them.
","उनके तथाकथित नाटकों में, कविताओं का अंश मुख्य है, उनमें संगीत भी शामिल है।
",[start] unke called [UNK] men [UNK] of prtishat adhik hai unmen [UNK] bhi hai [end],76,0
"Decisions in a proprietary concern are easy and prompt.
","स्वामित्व प्रतिष्ठान में निर्णय सुगमता से और त्वरित रूप में लिए जा सकते हैं।
",[start] [UNK] [UNK] men nirnay men aur [UNK] hote hain [end],77,0
"Image format (default RGB)
","छवि प्रारूप (डिफ़ॉल्ट RGB)
",[start] image [UNK] [UNK] [UNK] [end],78,0
"Failed to unlock lock file '% s' '% s'
","लॉक फ़ाइल को अन-लॉक करने में असफ़ल
",[start] fail file file ko [UNK] karne men viphal [end],79,0
"Sudhir, run and call Panu Babu.
","सुधीर, तुम दौड़कर जाओ, पानू बाबू को फौरन बुला लाओ।
",[start] [UNK] [UNK] [UNK] babu ko [UNK] [end],80,0
"What is today 's status of Consolidated Stock?
","समेकित स्टॉक की आज की स्थिति क्या है।
",[start] [UNK] [UNK] ki today ki [UNK] kya hai [end],81,0
"For services in Wales contact: Welsh Office Drugs Unit, Welsh Office, Cathays Park, Cardiff CF1 3NQ.
","वेल्स में सेवाओं के लिए सम्पर्क:-Welsh Office Drugs Unit, Welsh Office, Cathays Park, Cardiff CF1 3NQ. टेलीफ़ोन नम्बर ०२२२ ८२५१११
",[start] [UNK] men [UNK] ke lie [UNK] karen [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] total [UNK] [UNK] [UNK] [UNK] [end],82,0
"Device does not support FILTER _ SLOT property.
","उपकरण में FILTER _ SLOT गुण समर्थन उपलब्ध नहीं है.
",[start] [UNK] [UNK] property ka samarthan nahin karta [end],83,0
"And that He may punish the Hypocrites, men and women, and the Polytheists men and women, who imagine an evil opinion of Allah. On them is a round of Evil: the Wrath of Allah is on them: He has cursed them and got Hell ready for them: and evil is it for a destination.
","और मुनाफिक़ मर्द और मुनाफ़िक़ औरतों और मुशरिक मर्द और मुशरिक औरतों पर जो ख़ुदा के हक़ में बुरे बुरे ख्याल रखते हैं अज़ाब नाज़िल करे उन पर (मुसीबत की) बड़ी गर्दिश है (और ख़ुदा) उन पर ग़ज़बनाक है और उसने उस पर लानत की है और उनके लिए जहन्नुम को तैयार कर रखा है और वह (क्या) बुरी जगह है
",[start] aur taki vah hearts [UNK] aur women aur [UNK] vah aur women ko [UNK] kare jo allah ke bare men ek buri ray rakhte hain [end],84,0.1189
"The tribals also depend on the bamboo to augment their incomes .
","आदिवासी अपनी आय बढने के लिए भी बांस पर निर्भर रहते हैं .
",[start] [UNK] bhi apni aay baane ke lie [UNK] par [UNK] hain [end],85,0.1642
"organs superficially appear to be similar and perform the same function.
","बाहरी दिखावे में अंग एक जैसे दिखें और एक ही प्रकार का कार्य कर रहे हों।
",[start] [UNK] [UNK] roop se saman dikhaee dete hain aur same kary karte hain [end],86,0
"He usually speaks impeccable English and you think for a moment that you are perhaps better off here than in China.
","वे आम तौर पर अच्छी अंग्रेजी बोलते हैं और एक क्षण के लिए लगेगा कि चीन की तुलना में शायद यहां बेहतर स्थिति है.
",[start] vah [UNK] par [UNK] [UNK] [UNK] hain aur aap ek [UNK] ke lie sochte hain ki aap shayad [UNK] ki tulna men yahan behatar hain [end],87,0.388
"Server 's certificate cannot be checked.
","सर्वर प्रमाणपत्र की जांच नहीं की जा सकती.
",[start] server ke prmanapatr ki [UNK] nahin ki ja sakti [end],88,0
"Therefore that process is not sufficient for our Yoga; something else is needed more embracingly positive.
","इसलिये वह विधि हमारे योग के लिये पर्याप्त नहीं; किसी और साधन की भी आवश्यकता है जो अधिक सर्वग्राही रूप में भावात्मक हो।
",[start] islie vah process hamare [UNK] of lie paryapt nahin hai [end],89,0
"what they want to learn to do.
","जो वो सीखना चाहते हैं.
",[start] ve kya karna [UNK] chahte hain [end],90,0
"And what can make you know what is the Striking Calamity?
","और तुम्हें क्या मालूम कि क्या है वह खड़खड़ानेवाली?
",[start] aur tum kya jan sakte ho ki [UNK] [UNK] kya hai [end],91,0
"An organism in the early stages of development.
","विकास की प्रारम्भिक अवस्था में एक जीव
",[start] development ke [UNK] phase men ek [UNK] [end],92,0.4957
"If TRUE, the selected month cannot be changed
","अगर सत्य तो चयनित माह नही बदला जा सकता
",[start] yadi correct hai to selected [UNK] ko badla nahin ja sakta [end],93,0
"I am uncompromisingly against all destructive machinery.
","मै तमाम नाशकारी यंत्रोंका कट्टर विरोधी हूं।
",[start] main sabhi [UNK] [UNK] ke [UNK] bina kisi [UNK] ke hoon [end],94,0
